C (Regularização),Kernel,Gamma,MSE
10.0,rbf,0.001,0.003099647679767574
1.0,rbf,0.01,0.003099787203694164
1.0,rbf,0.001,0.003107382781297322
0.1,rbf,0.01,0.003107400996658006
0.1,rbf,0.001,0.003108412320149008
0.1,linear,0.01,0.0031349135240817763
0.1,linear,0.001,0.0031349135240817763
0.1,linear,scale,0.0031349135240817763
10.0,rbf,0.01,0.0031697900000153996
100.0,rbf,0.001,0.003171530009476129
0.1,rbf,scale,0.003264428888885402
1.0,linear,scale,0.0032872346001728303
1.0,linear,0.01,0.0032872346001728303
1.0,linear,0.001,0.0032872346001728303
1000.0,rbf,0.001,0.003320501727311105
100.0,rbf,0.01,0.003320678753657548
1000.0,rbf,scale,0.0033583305047092623
100.0,rbf,scale,0.0033583305047092623
10.0,rbf,scale,0.0033583305047092623
1.0,rbf,scale,0.0033583305047092623
10.0,linear,0.001,0.0033587612239347254
10.0,linear,scale,0.0033587612239347254
10.0,linear,0.01,0.0033587612239347254
100.0,linear,scale,0.0033602367728667397
100.0,linear,0.01,0.0033602367728667397
100.0,linear,0.001,0.0033602367728667397
1000.0,rbf,0.01,0.003367633156062026
1000.0,linear,scale,0.0033719129081841697
1000.0,linear,0.001,0.0033719129081841697
1000.0,linear,0.01,0.0033719129081841697
